,id,title,artist,danceability,energy,key,loudness,modal,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sentiments,no_of_tags
0,25R5Tdr4K7ENb6umHzdCXn,Alive,Sia,0.508,0.762,6,-4.217,0,0.254,0.000122,0.108,0.444,99.963,263520,4,positive,6
1,2p5ieZMPXzUSec8yaiGTvY,Second Chance,Peter Bjorn and John,0.587,0.965,7,-1.542,1,0.0204,0.00296,0.097,0.771,132.826,252853,4,positive,1
2,55G4pHzYpiTk2Hlknn5wXF,Fell in Love Without You,Motion City Soundtrack,0.665,0.485,0,-7.549,1,0.49,0.0,0.0822,0.306,119.943,205267,4,positive,3
3,3r7WTNjlxxTXParQCQeGZ8,The People,Common,0.578,0.838,1,-5.814,0,0.115,0.0,0.513,0.555,92.702,204547,4,positive,8
4,0QhC8F42t0Fwzdo3B6jsNL,Dragons,Caravan Palace,0.709,0.902,4,-5.711,0,0.00999,0.505,0.181,0.691,124.048,245507,4,positive,1
5,2VkD1v3tYy51yHdalZzEgJ,Good Morning,Chamillionaire,0.701,0.822,5,-4.181,1,0.0541,0.0,0.157,0.392,88.025,212520,4,positive,3
6,51mk2bAJNej4mpA2Q6Zr88,Freedom,Jurassic 5,0.859,0.79,1,-6.139,1,0.244,7.02e-05,0.0627,0.949,92.053,199307,4,positive,5
7,3KwwE4sgCzMaKWq6QBebmX,Me Too,Meghan Trainor,0.934,0.694,11,-5.849,0,0.0971,1.2e-06,0.477,0.833,123.831,181240,4,positive,1
8,0kAoIVD3SVRhfV4B7zq3aF,Stay Positive,The Streets,0.672,0.567,5,-6.101,1,0.18,0.000155,0.244,0.408,93.013,375867,4,positive,10
9,1nYuroLdp35I01UFOvQABT,Be Yourself,Morcheeba,0.768,0.74,6,-4.373,0,0.101,0.0103,0.115,0.893,110.053,194520,4,positive,10
10,3YzeozjVpmh81J5Mc6gNG9,Forgive Me,Infected Mushroom,0.675,0.672,9,-7.346,1,0.252,0.0398,0.132,0.732,110.028,209440,4,positive,5
11,2qxDVthzyNA2rbGuOCaNBK,Never Run Away,Kurt Vile,0.573,0.784,3,-5.927,1,0.176,0.0,0.11,0.328,107.729,204680,4,positive,2
12,4JuQX3jLrdGxGvGLIsl379,Private Lawns,Angus & Julia Stone,0.841,0.334,9,-10.242,0,0.511,0.458,0.0993,0.743,94.057,187133,4,positive,1
13,4oAUKSfTrHE0ZZTOhJqQ6b,Keep It Simple,Cobra Starship,0.664,0.911,4,-4.62,0,0.0113,0.0,0.217,0.849,130.028,249960,4,positive,6
14,710OZxWApuFYldsBURfwdd,Fables,The Dodos,0.535,0.802,7,-5.867,1,0.0021,0.0266,0.0588,0.744,81.118,258600,4,positive,4
15,5rrFaGItMPjAdotHsbpg1V,Psychiatric Explorations of the Fetus With Needles,The Flaming Lips,0.263,0.636,9,-10.837,1,0.0017,0.832,0.275,0.057,124.719,207400,3,positive,4
